SMILES,Name,Pubchem_ID,CAS-RN,Tb,Tb_source,GHS_signal,298.15,298.150025,298.15004999999996,298.1500749999999,298.15009999999995,Mean,ln_gamma_inf_ij_,ln_gamma_inf_ik_,ln_gamma_inf_ji_,ln_gamma_inf_jk_,ln_gamma_inf_ki_,ln_gamma_inf_kj_,MW,Rank
Cc1cc(C)on1,"ISOXAZOLE, 3,5-DIMETHYL",9312.0,"['300-87-8', '27-00-0']",415.15,CRC_ORG,Warning,1.5533929948149232,1.5533928804460102,1.5533927660771158,1.5533926517082397,1.5533925373393815,1.5533927660771343,0.3777535149557519,1.2912462256175392,0.3065796501322132,0.13084962513386333,0.5712910452944009,0.5532285090124008,97.117,37
O=CC1CC=CCC1,3-CYCLOHEXENE-1-CARBOXALDEHYDE,7508.0,"['100-50-5', '07-00-0', '100-50-5']",437.15,CRC_ORG,Warning,1.5506267860882226,1.5506269113678894,1.5506270366475552,1.5506271619272194,1.5506272872068836,1.550627036647554,0.37775531667935025,0.8642449827074982,0.306579173295055,1.030702779313372,1.4693621682129838,0.9793319559573049,110.15599999999999,38
CC(C)OCCO,2-propan-2-yloxyethanol,7996.0,"['109-59-1', '109-59-1']",414.75,CRC_ORG,Warning,1.518288687112667,1.5182886510313995,1.5182886149501362,1.5182885788688774,1.5182885427876218,1.5182886149501404,0.37775460142361295,2.523263894102693,0.3065794117136341,-0.07989092536579655,0.33769286396117504,0.204555359275684,104.149,39
CNS(C)(=O)=O,"METHANESULFONIC ACID, AMIDE, N-METHYL",97632.0,"['1184-85-6', '04-00-0']",254.15,YAWS,Warning,1.513712420326141,1.5137126967733125,1.5137129732205086,1.5137132496677321,1.5137135261149826,1.5137129732205354,0.3777539917929101,2.356635566850726,0.3065794117136341,-0.4187723747556462,-0.004206819469897027,-0.7187414727693076,109.14999999999999,40
CCC(C)O,2-BUTANOL,6568.0,"['78-92-2', '15892-23-6', '01-00-0', '78-92-2', '14457-93-3']",372.55,CRC_ORG,Warning,1.502849730050022,1.5028494074975542,1.5028490849451859,1.5028487623929143,1.5028484398407396,1.5028490849452834,0.37775579351650845,2.2694300711123767,0.3065794117136341,0.16427208337172985,0.5716347798831365,-0.283414714209177,74.12299999999999,41
O=Cc1ccccc1,BENZALDEHYDE,240.0,"['100-52-7', '8013-76-1', '100-52-7']",451.85,CRC_ORG,Warning,1.4656309626778234,1.465630972450573,1.4656309822233216,1.4656309919960693,1.4656310017688163,1.4656309822233207,0.377753753374331,0.9643450908170159,0.3065794117136341,0.4149978586728588,0.7972837130045894,0.1431006997125069,106.12399999999997,42
CC(=O)CO,"2-PROPANONE, 1-HYDROXY",8299.0,['116-09-6'],418.65,CRC_ORG,Warning,1.4024075120203392,1.402407625860354,1.4024077397003674,1.4024078535403801,1.4024079673803924,1.4024077397003665,0.37775531667935025,2.2619912154832056,0.306579173295055,-0.7338399295399907,-0.39564935603389917,-0.9155655979028051,74.079,43
CC(=O)N1CCOCC1,"MORPHOLINE, N-ACETYL",15543.0,['1696-20-4'],450.09,JOBACK,Warning,1.3899232693530146,1.3899232947505191,1.3899233201480221,1.3899233455455229,1.3899233709430225,1.3899233201480201,0.3777535149557519,0.5841156695867006,0.306579173295055,-0.09910823694315558,0.2301403433166435,-0.0079815957483651,129.159,44
CCOc1ccccc1,"BENZENE, ETHOXY",7674.0,['103-73-1'],442.95,CRC_ORG,Warning,1.3253524768448626,1.325352371185563,1.3253522655262824,1.325352159867019,1.3253520542077712,1.3253522655262997,0.3777535149557519,2.0887044221215882,0.306579173295055,1.5894368169097226,1.8711151017877548,1.183816517264476,122.16699999999996,45
COC(=O)c1ccoc1,"3-FURANCARBOXYLIC ACID, METHYL ESTER",14918.0,"['13129-23-2', '1334-76-5']",433.15,YAWS,Warning,1.3197742230571876,1.3197741184836187,1.319774013910067,1.3197739093365328,1.3197738047630165,1.3197740139100846,0.37775507826077115,1.9229865909160053,0.3065796501322132,1.3273981339981422,1.604858654356482,0.8710980153879033,126.11099999999998,46
